"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2009-11",,,,,,,"9","1,N","5","1,N",,,,,,,,,,,,,,,,,,,,,"2.89","1,,N,20,",,,,,,,,,,,,,,,,,,,"5.69","1,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2009-12",,,,,,,"15","1,N","6","1,N",,,,,,,,,,,,,,,,,,,,,"1.05","1,,N,17,",,,,,,,,,,,,,,,,,,,"3.85","1,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2010-01",,,,,,,"5","1,N","5","1,N",,,,,,,,,,,,,,,,,,,,,"3.35","1,,N,15,",,,,,,,,,,,,,,,,,,,"4.22","1,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2010-02",,,,,,,"8","2,N","7","2,N",,,,,,,,,,,,,,,,,,,,,"1.90","2,,N,11,",,,,,,,,,,,,,,,,,,,"4.94","2,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2010-04",,,,,,,"5","1,N","1","1,N",,,,,,,,,,,,,,,,,,,,,"0.27","1,,N,17,",,,,,,,,,,,,,,,,,,,"0.44","1,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2010-05",,,,,,,"2","1,N","1","1,N",,,"0","3,N",,,,,,,,,,,,,,,"0.0","3,,N,31,+","0.57","1,,N,16,",,,,,,,,,,,,,,,,,,,"0.64","1,,,N","0.0","3,,,N",,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2010-06",,,,,,,"6","1,N","4","1,N",,,,,,,,,,,,,,,,,,,,,"1.90","1,,N,03,",,,,,,,,,,,,,,,,,,,"4.05","1,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2010-07",,,,,,,"11","3,N","6","3,N",,,,,,,,,,,,,,,,,,,,,"0.58","3,,N,22,",,,,,,,,,,,,,,,,,,,"1.94","3,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2010-08",,,,,,,"0","2,N","0","2,N",,,"0","5,N",,,,,,,,,,,,,,,"0.0","5,,N,31,+","0.00","2,T,N,30,+",,,,,,,,,,,,,,,,,,,"0.00","2,T,,N","0.0","5,,,N",,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2010-09",,,,,,,"19",",N","13",",N",,,,,,,,,,,,,,,,,,,,,"5.45",",,N,20,",,,,,,,,,,,,,,,,,,,"12.00",",,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2010-10",,,,,,,"0","4,N","0","4,N",,,"0","5,N",,,,,,,,,,,,,,,"0.0","5,,N,31,+","0.00","4,T,N,23,+",,,,,,,,,,,,,,,,,,,"0.00","4,T,,N","0.0","5,,,N",,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2010-11",,,,,,,"7","2,N","2","2,N",,,,,,,,,,,,,,,,,,,,,"0.32","2,,N,02,",,,,,,,,,,,,,,,,,,,"0.65","2,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2010-12",,,,,,,"4","4,N","1","4,N",,,,,,,,,,,,,,,,,,,,,"0.15","4,,N,29,",,,,,,,,,,,,,,,,,,,"0.22","4,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2011-01",,,,,,,"5","4,N","4","4,N",,,,,,,,,,,,,,,,,,,,,"2.49","4,,N,16,",,,,,,,,,,,,,,,,,,,"4.87","4,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2011-02",,,,,,,"6","2,N","0","2,N",,,,,,,,,,,,,,,,,,,,,"0.08","2,,N,04,",,,,,,,,,,,,,,,,,,,"0.21","2,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2011-03",,,,,,,"2","2,N","1","2,N",,,"0","4,N",,,,,,,,,,,,,,,"0.0","4,,N,31,+","0.14","2,,N,06,",,,,,,,,,,,,,,,,,,,"0.15","2,,,N","0.0","4,,,N",,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2011-04",,,,,,,"1","4,N","0","4,N",,,"0","5,N",,,,,,,,,,,,,,,"0.0","5,,N,30,+","0.02","4,,N,12,",,,,,,,,,,,,,,,,,,,"0.02","4,,,N","0.0","5,,,N",,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2011-07",,,,,,,"3","3,N","1","3,N",,,,,,,,,,,,,,,,,,,,,"0.21","3,,N,11,",,,,,,,,,,,,,,,,,,,"0.24","3,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2011-08",,,,,,,"0","4,N","0","4,N",,,"0","5,N",,,,,,,,,,,,,,,"0.0","5,,N,31,+","0.00","4,T,N,26,",,,,,,,,,,,,,,,,,,,"0.00","4,T,,N","0.0","5,,,N",,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2011-09",,,,,,,"5","3,N","2","3,N",,,,,,,,,,,,,,,,,,,,,"0.34","3,,N,18,",,,,,,,,,,,,,,,,,,,"0.55","3,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2011-11",,,,,,,"3","2,N","2","2,N",,,,,,,,,,,,,,,,,,,,,"0.12","2,,N,27,+",,,,,,,,,,,,,,,,,,,"0.31","2,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2011-12",,,,,,,"9","2,N","5","2,N",,,,,,,,,,,,,,,,,,,,,"0.56","2,,N,11,",,,,,,,,,,,,,,,,,,,"1.35","2,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2012-01",,,,,,,"6","2,N","2","2,N",,,,,,,,,,,,,,,,,,,,,"0.41","2,,N,09,",,,,,,,,,,,,,,,,,,,"0.72","2,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2012-02",,,,,,,"13","1,N","7","1,N",,,,,,,,,,,,,,,,,,,,,"1.63","1,,N,05,",,,,,,,,,,,,,,,,,,,"4.15","1,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2012-03",,,,,,,"7","3,N","4","3,N",,,,,,,,,,,,,,,,,,,,,"0.38","3,,N,20,",,,,,,,,,,,,,,,,,,,"1.13","3,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2012-06",,,,,,,"6","5,N","4","5,N",,,,,,,,,,,,,,,,,,,,,"3.32","5,,N,30,",,,,,,,,,,,,,,,,,,,"4.96","5,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2012-11",,,,,,,"4","5,N","2","5,N",,,,,,,,,,,,,,,,,,,,,"0.87","5,,N,04,",,,,,,,,,,,,,,,,,,,"1.20","5,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2013-01",,,,,,,"11","1,N","3","1,N",,,,,,,,,,,,,,,,,,,,,"0.46","1,,N,09,",,,,,,,,,,,,,,,,,,,"1.26","1,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2013-02",,,,,,,"5",",N","2",",N",,,,,,,,,,,,,,,,,,,,,"2.05",",,N,07,",,,,,,,,,,,,,,,,,,,"2.26",",,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2013-03",,,,,,,"3","1,N","0","1,N",,,"0","5,N",,,,,,,,,,,,,,,"0.0","5,,N,31,+","0.08","1,,N,11,",,,,,,,,,,,,,,,,,,,"0.10","1,,,N","0.0","5,,,N",,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2013-04",,,,,,,"9","1,N","3","1,N",,,,,,,,,,,,,,,,,,,,,"1.30","1,,N,28,",,,,,,,,,,,,,,,,,,,"2.69","1,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2013-06",,,,,,,"6","1,N","1","1,N",,,,,,,,,,,,,,,,,,,,,"0.11","1,,N,08,",,,,,,,,,,,,,,,,,,,"0.27","1,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2013-07",,,,,,,"5","1,N","5","1,N",,,,,,,,,,,,,,,,,,,,,"2.60","1,,N,18,",,,,,,,,,,,,,,,,,,,"4.99","1,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2013-08",,,,,,,"6",",N","3",",N",,,,,,,,,,,,,,,,,,,,,"0.63",",,N,27,",,,,,,,,,,,,,,,,,,,"1.50",",,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2013-09",,,,,,,"13","3,N","11","3,N",,,,,,,,,,,,,,,,,,,,,"2.23","3,,N,09,",,,,,,,,,,,,,,,,,,,"7.69","3,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2013-10",,,,,,,"8","2,N","6","2,N",,,,,,,,,,,,,,,,,,,,,"1.11","2,,N,19,",,,,,,,,,,,,,,,,,,,"3.00","2,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2013-11",,,,,,,"4","5,N","3","5,N",,,,,,,,,,,,,,,,,,,,,"0.55","5,,N,26,",,,,,,,,,,,,,,,,,,,"1.16","5,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2013-12",,,,,,,"4","2,N","1","2,N",,,,,,,,,,,,,,,,,,,,,"0.23","2,,N,27,",,,,,,,,,,,,,,,,,,,"0.37","2,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2014-01",,,,,,,"9","1,N","1","1,N",,,,,,,,,,,,,,,,,,,,,"0.60","1,,N,09,",,,,,,,,,,,,,,,,,,,"0.89","1,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2014-02",,,,,,,"9","2,N","2","2,N",,,,,,,,,,,,,,,,,,,,,"0.35","2,,N,27,",,,,,,,,,,,,,,,,,,,"0.62","2,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2014-05",,,,,,,"7","3,N","3","3,N",,,,,,,,,,,,,,,,,,,,,"1.44","3,,N,13,",,,,,,,,,,,,,,,,,,,"3.32","3,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2014-07",,,,,,,"2","3,N","2","3,N",,,"0","5,N",,,,,,,,,,,,,,,"0.0","5,,N,31,+","0.64","3,,N,11,",,,,,,,,,,,,,,,,,,,"0.85","3,,,N","0.0","5,,,N",,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2014-08",,,,,,,"5","1,N","1","1,N",,,,,,,,,,,,,,,,,,,,,"0.42","1,,N,03,",,,,,,,,,,,,,,,,,,,"0.64","1,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2014-09",,,,,,,"16",",N","11",",N",,,,,,,,,,,,,,,,,,,,,"1.62",",,N,30,",,,,,,,,,,,,,,,,,,,"8.63",",,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2014-10",,,,,,,"6",",N","6",",N",,,,,,,,,,,,,,,,,,,,,"1.64",",,N,21,",,,,,,,,,,,,,,,,,,,"4.72",",,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2014-11",,,,,,,"10","1,N","6","1,N",,,,,,,,,,,,,,,,,,,,,"2.31","1,,N,01,",,,,,,,,,,,,,,,,,,,"4.94","1,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2014-12",,,,,,,"9",",N","3",",N",,,,,,,,,,,,,,,,,,,,,"0.42",",,N,28,",,,,,,,,,,,,,,,,,,,"1.10",",,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2015-01",,,,,,,"11","1,N","5","1,N",,,,,,,,,,,,,,,,,,,,,"0.83","1,,N,23,",,,,,,,,,,,,,,,,,,,"2.23","1,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2015-02",,,,,,,"9",",N","5",",N",,,,,,,,,,,,,,,,,,,,,"1.00",",,N,04,",,,,,,,,,,,,,,,,,,,"2.47",",,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2015-03",,,,,,,"18","2,N","5","2,N",,,,,,,,,,,,,,,,,,,,,"1.72","2,,N,09,",,,,,,,,,,,,,,,,,,,"5.47","2,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2015-04",,,,,,,"14","1,N","8","1,N",,,,,,,,,,,,,,,,,,,,,"1.51","1,,N,23,",,,,,,,,,,,,,,,,,,,"5.30","1,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2015-05",,,,,,,"9","1,N","8","1,N",,,,,,,,,,,,,,,,,,,,,"4.50","1,,N,12,",,,,,,,,,,,,,,,,,,,"13.75","1,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2015-06",,,,,,,"10","1,N","7","1,N",,,,,,,,,,,,,,,,,,,,,"4.11","1,,N,18,",,,,,,,,,,,,,,,,,,,"5.67","1,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2015-07",,,,,,,"2","1,N","1","1,N",,,"0","3,N",,,,,,,,,,,,,,,"0.0","3,,N,31,+","1.34","1,,N,02,",,,,,,,,,,,,,,,,,,,"1.41","1,,,N","0.0","3,,,N",,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2015-09",,,,,,,"8",",N","5",",N",,,,,,,,,,,,,,,,,,,,,"3.83",",,N,12,",,,,,,,,,,,,,,,,,,,"5.14",",,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2015-10",,,,,,,"9","1,N","6","1,N",,,,,,,,,,,,,,,,,,,,,"2.42","1,,N,25,",,,,,,,,,,,,,,,,,,,"5.15","1,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2015-11",,,,,,,"14","1,N","3","1,N",,,,,,,,,,,,,,,,,,,,,"0.95","1,,N,08,",,,,,,,,,,,,,,,,,,,"1.88","1,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2015-12",,,,,,,"6",",N","2",",N",,,,,,,,,,,,,,,,,,,,,"0.67",",,N,13,",,,,,,,,,,,,,,,,,,,"0.95",",,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2016-01",,,,,,,"8","1,N","3","1,N",,,,,,,,,,,,,,,,,,,,,"0.93","1,,N,02,",,,,,,,,,,,,,,,,,,,"2.13","1,,,N",,,,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2016-02",,,,,,,"2","2,N","0","2,N",,,"0","4,N",,,,,,,,,,,,,,,"0.0","4,,N,29,+","0.08","2,,N,23,",,,,,,,,,,,,,,,,,,,"0.09","2,,,N","0.0","4,,,N",,,,,,,,,,,,,,
"US1TXNU0010","FLOUR BLUFF 1.6 SW, TX US","27.661316","-97.303112","5.2","2016-03",,,,,,,"5",",N","3",",N",,,,,,,,,,,,,,,,,,,,,"2.54",",,N,10,",,,,,,,,,,,,,,,,,,,"3.36",",,,N",,,,,,,,,,,,,,,,
