Site Name,Longitude,Latitude,Correlation,P-value
Berkeley- Aquatic Park,122.25,37.75,0.05016145225012262,0.6425615197504871
Big Bear,116.75,34.25,-0.08841876111220574,0.08988029192396231
Big Bend NP - K-Bar Ranch Road,103.25,29.25,0.1649465630279175,0.0027313806854881518
Billings Lockwood,108.25,45.75,0.05757437924816848,0.2752620636135869
Bishop Tribe EMO,118.25,37.25,-0.11962097660855542,0.023021132282342517
Blair Street,90.25,38.75,0.050054595702165194,0.21069774930237326
Bloomington- Binford Elementary School,86.75,39.25,-0.011364642595429632,0.8034650280087136
"Blue Ridge, I-70",94.25,39.0,0.021630454834958398,0.8185163688641189
Board Of Ed. Bldg.,82.75,35.75,0.08676769826374266,0.06182964822942585
Bonifay,85.75,30.75,0.2413160490131876,4.7232629676717474e-11
Boulder Lake,109.75,42.75,-0.17872207713408833,0.11269851099399625
Boundary Waters,91.25,48.0,0.11176425741349234,0.0014626533644947176
Bountiful Viewmont,112.0,41.0,-0.031413411711741,0.39834484922183644
Bozeman High School,111.0,45.75,-0.07958646915075701,0.13394328424172547
Brainerd Lakes Regional Airport,94.25,46.25,-0.0015544250180353346,0.9665574464252514
Branch Street,90.25,38.75,-0.00136671699338495,0.9745817734527946
Brawley-220 Main Street,115.75,33.0,0.13122399944685456,0.012097367991451256
Bremerton-Spruce Ave,122.75,47.75,0.21544315944540965,4.8243329414422334e-05
Breton Island,89.75,30.0,-0.04514097817346107,0.7878456158696108
Brigantine,74.25,39.25,0.0022760772538852015,0.9623337016522898
Brigham City #3,112.0,41.25,0.00534862281169427,0.9430313926769073
"Broad Run High School, Ashburn",77.25,39.0,0.07836124497881819,0.4072606727443223
Brockton Buckley,71.0,42.0,-0.012427679136042912,0.8142183174328186
Brownsville,97.25,26.0,0.13181370841146123,0.2078581501749686
Brownsville East 6th Street,97.75,26.0,0.0746908554987601,0.23462928187611493
Brunswick,81.25,31.25,0.1273660723145271,0.005487129903304204
Bryan Finfeather Road,96.25,30.75,0.19690216548610626,0.00021885502852567843
Bryan Park,77.25,37.75,0.04199448417857406,0.3560836551179268
Bryson City,83.25,35.25,0.08734776857682669,0.09658579594203247
Buffalo Near-Road,78.75,43.0,-0.06104605844416001,0.2512950344340843
Burns - Washington Park (BWS),119.0,43.75,-0.0755281072389808,0.0427642718517903
Butte Greeley School,112.75,46.0,-0.06901997076560286,0.15796257757654192
"CAMP DODGE, GREENS GRANT",71.25,44.25,0.1197324937213992,0.4617941250764809
CANNONS LANE,85.75,38.25,-0.032807341298007255,0.48465304002732507
CAPE ROMAIN,79.75,33.0,0.12449231131495558,0.01227076490724
CARPENTER,93.75,41.75,-0.005485408187270185,0.8530323958007037
CARUS TRAILER/SPANGLER RD,122.75,45.25,0.0041013261348084645,0.9378443535969675
CARY GROVE HS,88.25,42.25,-0.05533101881545879,0.291754950481596
CASA GRANDE DOWNTOWN,111.75,33.0,0.01962565619589788,0.72653815216115
CCNY,74.0,40.75,-0.0385411313712888,0.4685106149198661
CCRI Liston Campus ROOFTOP,71.25,41.75,-0.02581833328944898,0.651210713495815
CEDAR BLUFF,99.75,38.75,0.05012570956528304,0.34026191760341407
CENTRAL FIRE STATION,97.75,35.25,0.13188803324777776,0.3513267969544183
CHANUTE,95.25,37.75,0.06485088821727805,0.21835990297341465
CHEEKA PEAK,124.75,48.25,0.10996122512803537,0.04212723415657957
CHEHALIS - MARKET BLVD,123.0,46.75,0.11234744762625323,0.03284616770386817
CHELAN - WOODIN AVE,120.0,47.75,0.20969891485498715,5.401695806465682e-05
CHESTERFIELD,80.25,34.75,0.042919187326779004,0.3537072141342763
CHICKASAW,88.0,30.75,0.21229965780603813,6.558896214223251e-05
CHILDREN'S PARK NCore,111.0,32.25,-0.12469025392104759,0.009072294838925708
CHIWAUKEE PRAIRIE STATELINE,87.75,42.75,-0.0698065016564125,0.18695457291949286
CITY HALL,88.25,41.75,-0.02744896030377214,0.6016773572925987
CITY OFFICE BUILDING,89.75,40.75,0.001184726510140526,0.9855254052247435
CLARKSTON - 13TH ST,117.0,46.25,0.0014039822212461083,0.9721913092880933
"CLINTON, CHANCY PARK",90.25,41.75,-0.0278395793838158,0.35981660671777527
"CLINTON, RAINBOW PARK",90.25,41.75,-0.010957161982284011,0.9050525261245272
COACHLINE,111.25,32.25,-0.02339812353570191,0.7133141976104006
COLORADO SPRINGS - COLLEGE COLLEGE,104.75,38.75,0.0878701234648363,0.10527472835658758
COM ED MAINTENANCE BLDG,87.75,41.75,-0.004213859896620654,0.9329614714240776
COM ED TRAINING CENTER,88.25,41.25,-0.024756869120222774,0.6373342437529936
CONSENTINO SCHOOL.,71.0,42.75,-0.00989365231717806,0.8528414878216106
"COUNCIL BLUFFS, FRANKLIN SCH.",96.0,41.25,0.04633735337550958,0.536785203078608
COUNTRY KITCHEN BAKERY PARKING LOT,70.25,44.0,-0.06565636781085421,0.22181521842453858
CREDIT UNION,103.25,44.0,0.05590165223997476,0.2874650058413697
CROSSETT,92.0,33.25,0.4480134101940868,2.882447068281027e-07
CROSSVILLE,86.0,34.25,0.2733265848563014,1.4307392993478229e-07
CTCLUSI Radar Hill - OR,124.25,43.25,-0.04238219103459307,0.7499375824315435
Calaveras Lake,98.25,29.25,0.2588479149382997,6.856548088548044e-07
Calexico-Ethel Street,115.25,32.75,-0.06658604974286071,0.16516541707587065
Camden Spruce Street,75.25,40.0,-0.010809500963572508,0.8159748341239573
Camp Pendleton,117.25,33.25,0.04193404912572786,0.4302438458774327
Campo Indian Reservation,116.25,32.75,0.1125164393628465,0.06795560947444676
Candor: EPA CASTNet Site,79.75,35.25,0.01978536662986645,0.7158174428412281
Canton,81.25,40.75,0.38522380847530086,3.50895486230495e-18
Canton Fire St8,81.25,40.75,0.4715817733234044,1.5615305569891795e-24
Canyonlands NP - Island in the Sky,109.75,38.25,0.15490243747154359,0.3464016423516688
Capitol,91.25,30.25,0.11507064001066195,0.005569458190522623
Car-Barn Montgomery I -76,75.25,40.0,-0.01885943799086222,0.7599204299484407
Carlisle,77.25,40.25,-0.004246957352274149,0.9145390955891886
Carlsbad Caverns NP - Maintenance Area,104.25,32.25,0.06765303923551118,0.6865267671843418
Carmel- Hazel Dell Pkwy.,86.0,40.0,0.08881272403411733,0.3326872917059855
Carrithers Middle School,85.75,38.25,-0.033461945223293585,0.5239455706499702
Carthage,84.25,39.25,0.09488908115841856,0.026751697797293833
Casper Gaseous,106.25,42.75,0.057781609727481545,0.12137120164384388
Castle Hayne,77.75,34.25,0.0033158667776241363,0.9345960150241981
Cave Junction - USFS Office (CJFS),123.75,42.25,0.057921346787757406,0.27037754557348004
Chalmette Vista,90.0,30.0,0.07988459268561643,0.10627097464420915
Chatfield State Park,105.0,39.75,-0.01539355047478324,0.7477328729321856
ChelmsfordNR,71.25,42.75,-0.06455256838672538,0.2192104651405536
Chester,74.75,40.75,-0.022292344463332284,0.5383960902818056
Cheyenne NCore,104.75,41.25,0.012783383658190208,0.6995265300809069
Chickasaw Nation storage lot,96.75,34.75,0.16758259481667828,0.0027185912839998018
Chico-East Avenue,121.75,39.75,-0.0016399741842949708,0.9745135369086015
Chinatown,71.0,42.25,-0.06205515556289594,0.30607795078712186
Chippewa,82.0,41.0,0.08480503061022764,0.06338426772500602
Chiricahua NM - Entrance Station,109.25,32.0,0.26100507903422576,0.12415805775601321
Choteau,112.25,47.75,-0.3705241363166783,0.4696480794585851
Chula Vista,117.0,32.75,-0.09985570601710948,0.49482515258325555
Cincinnati Near Road,84.75,39.25,0.04744360532910633,0.33674566948786144
City of Burlington Parking Lot,73.25,44.25,-0.07302520421128957,0.1638562382036424
Clairton,80.0,40.25,0.3595364370462161,1.4042552446123136e-12
Clarksboro,75.25,39.75,-0.010888818342170781,0.9080509161999375
Clarksville (WC) PM2.5,87.25,36.75,0.021402058375160855,0.6894637412612855
Clemmons Middle,80.25,36.0,0.030353766314995572,0.5424514737048968
Cleveland Delta State,90.75,33.75,0.27576432973925874,1.2387178377750202e-07
Cleveland Fire St13,81.75,41.25,0.04686057278145888,0.48431592551735
Cleveland Near Road,81.25,41.25,0.26461677046596094,3.503330266226531e-09
Clinton,95.25,29.75,0.18659424526489615,7.975858374709509e-07
Clovis-Villa,119.75,36.75,0.018036251508645258,0.7341446620384323
Coastal Carolina University,79.0,33.75,0.0452857192114769,0.42613964517875763
Coconut Creek,80.25,26.25,-0.0035833766445604095,0.9234260506714076
Cody SLAMS site,109.0,44.75,0.008301506759502947,0.8233040256545824
Colerain,84.75,39.25,-0.004312091046276257,0.9356567932909848
Colfax-City Hall,121.0,39.0,0.01922122563850306,0.7406411054275525
Columbia,75.0,41.0,0.018259856324990033,0.7230864963451841
Columbia Pm 2.5,87.0,35.75,0.046342764775733174,0.3806467437205247
Columbus- Rocky Ford Rd.,86.0,39.25,0.0005209850006261056,0.9922735005795503
Columbus-Airport,85.0,32.75,0.20425200099965604,4.272347953756296e-08
Colusa-Sunrise Blvd,122.0,39.25,-0.005318188351193567,0.920239122289734
Colville-E 1St,118.0,48.75,0.010469499025492619,0.7797361499967215
Compton,118.25,34.0,-0.014684470475511097,0.7151694975535835
Conroe Relocated,95.25,30.25,0.1665794987378745,0.0014470313892448955
Convention Center,96.75,32.75,0.10516303958028603,0.09710693264339443
Cookeville pm 2.5 monitor,85.25,36.25,0.12184940241920318,0.02147434597671957
Copper View,112.0,40.75,-0.0663267735253194,0.07429585291473945
Corcoran-Patterson,119.75,36.0,-0.048329056695726895,0.3625692633068464
Corner,87.0,33.75,0.24104970818367097,0.0002984802571729817
Corpus Christi Huisache,97.25,27.75,0.262205021331584,1.3519285843901332e-12
Corsicana Airport,96.25,32.0,0.24118424641791117,4.724582163560684e-06
Cortina Indian Rancheria,122.25,39.0,-0.003094928271142845,0.9699147795312598
Cottage Grove - City Shops (CGC),123.0,43.75,-0.012173926445525191,0.7441728707448297
Cove City Hall (CCH),117.75,45.25,0.04829528293843664,0.36021158535538944
Crater Lake,122.25,43.0,0.17526760381235001,0.2994663973715307
Craters of the Moon NM & PRES - Visitor Center,113.75,43.25,-0.09611450334711069,0.5552079859645729
Crescent City-Crescent Elk School,124.25,41.75,-0.03022355693349521,0.5984346663919781
Crestline,117.25,34.25,0.04451577328253816,0.3971035495171523
Criscuolo Park-New Haven,73.0,41.25,-0.042520617246321536,0.20504719710461905
Crystal River Preserve,82.75,29.0,0.3490544555575836,1.737704168624505e-21
Cut Bank,112.25,48.75,0.17299773341774827,0.0010650998993401949
DARRINGTON - FIR ST (Darrington High School),121.75,48.25,0.03261474989280341,0.38120267974250005
"DAVENPORT, JEFFERSON SCH.",90.75,41.75,-0.0224043057770141,0.4498162415217264
"DAVID TURNHAM ELEMENTARY SCHOOL, Corner of Dunn & Locust, Dale",87.0,38.25,-0.0065549900407638265,0.9433535969370542
DAYTON - W MAIN,118.0,46.25,0.06855037539344136,0.191315148390272
DAYTONA BLIND SERVICES,81.0,29.25,0.1475591495408407,8.116001554823605e-05
"DECATUR, Alabama",87.0,34.75,0.11757778409305954,0.02631803430522686
DEL NORTE HIGH SCHOOL,106.75,35.25,-0.07342780935795798,0.06679909904636994
DELRAY BEACH,80.0,26.25,0.09833410414000199,0.007843476961415938
DENVER - CAMP,105.0,39.75,-0.05638477573155852,0.16885585062098032
DENVER - NJH-E,105.0,39.75,-0.03645613310679829,0.497861194580802
DEQ Piedmont Regional Office,77.75,37.75,0.04839227301004135,0.6027961228845115
DEQ Tidewater Regional Office,76.25,36.75,0.008686109097218094,0.8688231491514323
DEVILS LAKE PARK,89.75,43.25,-0.024906382937695513,0.6367050974225432
DOYLE SPRINGS ROAD,92.25,34.75,0.2063149018062755,5.9334508488551785e-06
DP4th - Detroit Police 4th Precinct (GHIB),83.0,42.25,0.04079072529660473,0.4429325975912216
DUDLEY SQUARE ROXBURY,71.0,42.25,-0.04259349305160114,0.3594445984479256
DUNKIRK,79.25,42.25,0.17124276177286218,0.16588045807627802
DURANGO COMPLEX,112.0,33.25,-0.10949585409038685,0.03784218424217582
Dallas Bexar Street,96.75,32.75,0.16090885488010603,0.028666617171287642
Dallas Hinton,96.75,32.75,0.08555919087949156,0.06469159660666453
Daniela Banu NCORE,80.25,26.0,0.17866743077927805,3.05134671087605e-08
Davis-UCD Campus,121.75,38.75,-0.02320461703860864,0.6616940976406397
Denali NP & PRES - Headquarters,149.0,63.75,0.04371618839017049,0.7888177786835604
Denton Airport South,97.25,33.25,0.17297639480973756,0.0010666453518346779
Dinosaur National Monument,109.25,40.25,-0.09100787076729557,0.58685484358518
District 6,81.75,41.75,0.02672635880576095,0.6967802519055036
Dixie St.,81.75,38.25,0.07814181159399275,0.1060407602608137
Dona Park,97.25,27.75,0.2504525311981172,3.2854617225096125e-07
Donovan,117.0,32.75,0.04965599205609099,0.34884718654944513
"Duncanville Middle School, Duncanville (Tuscaloosa) Alabama",87.25,33.0,0.14358589113855896,0.0082958636055477
Durham Armory,79.0,36.0,-0.02041321461574153,0.7067952617228117
Durrett Lane (Near Road),85.75,38.25,-0.014546393977827993,0.7582850159357052
Dyersburg PM 2.5 monitor,89.25,36.0,0.11740434983471364,0.02591035475542135
EAGLE MOUNTAIN,94.25,34.25,0.1581994513102298,0.3428129100365416
EAST SYRACUSE,76.0,43.0,-0.06604629882152682,0.14851209366715426
EAU CLAIRE - DOT SIGN SHOP,91.25,44.75,-0.04927954018579596,0.3478203690795534
ED SPEAR PARK (SMITHS GROVE),86.25,37.0,-0.013487069287951205,0.7342502064769455
EISENHOWER PARK,73.75,40.75,-0.049398860108595274,0.3466529010942203
EL DORADO,92.75,33.25,0.31961663185213873,0.00039528303141832054
ELIZA-NR,83.25,42.25,0.02198265129558318,0.6819261965221495
ELIZABETHTOWN,85.75,37.75,-0.023895272091077602,0.6286580574156362
ELLENSBURG - RUBY ST,120.75,47.0,0.13042319027960467,0.0004343148180789887
"EMMETSBURG, IOWA LAKES COMMUNITY COLL.",94.75,43.0,0.015952426802124508,0.6472880142135126
ENUMCLAW - MUD MTN (Army Corp of Engineers site),122.0,47.25,0.14070507563002818,0.008020901476335045
Eagle Pass,100.25,28.75,0.24954424461200614,4.458120000456306e-06
East 7 Mile,83.0,42.25,0.018599876526093587,0.865026797696321
East Chicago- Franklin School/ Washington School (Ben. Franklin),87.25,41.75,-0.01734371802908952,0.8533949317586277
East Chicago-Marina,87.25,41.75,-0.025736172166923352,0.5758057318907389
East HS,81.25,41.0,0.3473714813280697,1.1274404509031885e-16
East Haverhill,82.75,38.75,0.25243024593176006,2.883430659967455e-06
East Vinton Elementary School,80.0,37.25,0.03750584294988603,0.47623669645838584
Eastside Pump St,83.25,41.75,0.08707885792857567,0.34843375591788867
Eastwood,112.0,33.25,-0.08447878355742455,0.10759745643176377
Edgewood,76.25,39.25,0.00938307184860574,0.8599634470250088
Edinburg East Freddy Gonzalez Drive,98.25,26.25,-0.04399852008845552,0.41187997198117027
El Cajon - Lexington Elementary School,117.0,32.75,0.060963366588659015,0.1908648291022177
El Centro-9th Street,115.75,32.75,0.05194439188111614,0.4097516810602434
El Dorado Springs,94.0,37.75,0.073308242085399,0.16633731400488383
El Paso Chamizal,106.25,31.75,-0.03576648920612925,0.4631522569076908
El Rio-Rio Mesa School #2,119.25,34.25,0.05984157637432836,0.2662674451454529
Elizabeth Lab,74.25,40.75,-0.046154186463855114,0.24105996809346
Elkhart- Prairie St.,86.0,41.75,0.001935394083441562,0.9711784712823911
Ellyson Industrial Park,87.25,30.75,0.25807336287215565,3.097835704144255e-12
Enterprise - USFS,117.25,45.25,0.018513513517996547,0.7251807373861102
Erda,112.25,40.75,-0.015059919416678925,0.6866386897429348
Erie,83.75,41.75,0.054354166626943534,0.09796757587407566
Essex,76.25,39.25,0.26882212328560984,0.03951852205966027
Eugene  Wilkes Drive,123.0,44.0,-0.003679670871980576,0.9214293715791515
Eugene - AMAZON PARK (EAP),123.0,44.0,-0.018736691692144838,0.6174452997823514
Eugene - Hwy 99 (E99),123.25,44.0,-0.03995419188269655,0.2826558726637917
Evansville- Buena Vista,87.75,38.0,0.008792759680170866,0.8572472298399533
Evansville- U of E/  University of Evansville-Carson Center,87.75,38.0,0.05922011435200569,0.5259222702349738
FAA Tower,80.0,33.0,,
"FAIRHOPE, Alabama",88.0,30.25,0.25607699619346735,1.3875231919377464e-06
FALL RIVER,71.25,41.75,-0.033642237362931884,0.5228613844010425
FARGO NW,96.75,47.0,-0.005381356771355443,0.9191815833541155
FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON,71.25,43.75,-0.08430783030260393,0.1078268473825153
FIRESTATION #1,90.25,38.75,0.01603056040594442,0.7411692483548259
FORT COLLINS - CSU - Edison,105.0,40.75,-0.04735165072528152,0.3912224623028976
FRANCIS SCHOOL East Providence,71.25,41.75,-0.02162921160447149,0.5458781638331326
FRESHKILLS WEST,74.25,40.75,-0.029024335479386577,0.5905470046973982
FWS Wetland Management District,95.75,46.75,0.03309005685957266,0.37264571653710404
Fair Hill Natural Resource Management Area,75.75,39.75,9.318788737403337e-05,0.998602041649484
Fairgrounds,83.0,40.0,0.2909766814621495,4.359403735072354e-06
Farrell,80.25,41.25,0.2790744356174335,8.613267978877298e-08
Fire Administration Building (FAB),75.25,40.0,-0.016134035311268172,0.7599827709444282
Fire Station #8,84.25,33.75,0.14036467960333662,0.12463714093247673
Five Points,81.75,41.0,0.2648662885409315,0.0029505862285430927
Flathead Valley,114.25,48.25,0.04304565714731455,0.41289273331575305
Flemington,74.75,40.75,-0.033098273668278784,0.5377114790169338
Floyd Dryden Middle School,134.75,58.25,0.0188531379719171,0.7045306954106587
Folsom-Natoma St.,121.25,38.75,-0.04096822697941507,0.2966142880028863
Fond du Lac Band,92.75,46.75,0.017788102633728552,0.6337087591816883
Fontana,117.25,34.0,-0.009447915111406023,0.8699021548533856
Foothills,106.75,35.25,-0.012986620824161191,0.8054940251490239
Forest Park,84.25,33.75,0.03430154674968519,0.37464642880069043
Fort Griswold Park,72.0,41.25,-0.04531095835175681,0.3900317838110555
Fort Lee Near Road,74.0,40.75,-0.02713478495802344,0.6058452590961769
Fort Mcintosh,80.25,40.75,0.38236710770140614,1.250122671846687e-13
Fort Mountain,84.75,34.75,-0.14625459865935936,0.37430743463237215
Fort Wayne- Coliseum,85.0,41.0,0.025862587766179626,0.8187260576809288
Fort Worth California Parkway North,97.25,32.75,0.19601800847228468,2.0076127486101806e-06
Fort Worth Northwest,97.25,32.75,0.1586044880685073,0.0033175072238786495
Freeport South Avenue I,95.25,29.0,-0.011386773744875633,0.9429441521194084
French Settlement,90.75,30.25,0.1168726957854344,0.03095368301610052
French Town - Beckwith,114.25,47.0,0.03659851371370537,0.4857722336291171
Fresno - Garland,119.75,36.75,-0.021636578550573857,0.6238833924320174
Fresno-Foundry,119.75,36.75,-0.04056018847141007,0.44423238969276063
Fresno-Pacific,119.75,36.75,-0.02651405048551403,0.61806517058231
Friendship Park,80.75,35.25,0.03345166525948071,0.5321968360744128
Frying Pan Mountain,82.75,35.25,0.0026882578445684984,0.9879613467416327
GADSDEN C. COLLEGE,86.0,34.0,0.1962760554867281,0.00022941546966776351
GARDEN/TRINITY CHRISTIAN CHURCH,149.75,61.25,-0.05323635654558243,0.29369270545140347
GERONIMO,111.0,32.25,-0.033779367724725826,0.5826441077246508
GLENDALE,112.25,33.75,-0.09598159496705848,0.06852585258348004
GR-MONROE,85.75,43.0,-0.007081207283439847,0.883324984094414
GRAND JUNCTION - POWELL BLDG,108.75,39.0,-0.09024165670257003,0.09093003253008906
GRANTS PASS PARKSIDE SCHOOL,123.25,42.25,0.06275285975825785,0.08696471893631262
GRAVES ES,87.75,41.75,0.07761427391934916,0.3045031224632056
GRAYSON LAKE,83.0,38.25,0.12992048659544486,0.012986082173168356
GREEN BAY EAST HIGH,88.0,44.75,-0.03811210459517258,0.46790193556485454
GREEN VALLEY  -REPLACES SITE 0007 245 W ESPERANZA,111.0,32.0,0.17032619232305274,0.00526243749606711
GT Craig NCore PAMS,81.75,41.25,0.1985568251720809,1.3034526281294571e-05
Gainesville,83.75,34.25,0.0922970676703332,0.022072136109660183
Galveston 99th Street,94.75,29.25,0.24358708212893834,5.356202908850543e-06
Garden Valley,116.0,44.0,-0.0756021094781579,0.15459736748301353
